MO,K,COST,PEG,RL,T,NVDA,SHW,WELL,META
0.00022823745508460114,-0.015209184909612428,-0.0009407562865816343,0.01056748767149207,-0.00012224088580481407,0.0017760579592775994,-0.03889971031247319,0.012449625495304595,-0.009655875043183215,0.020968524926423537
0.0036513425376887287,0.07546507691845838,0.014150965835167284,0.003008167198166989,0.007945302172817748,-0.005910211188257186,0.03342933140601945,0.003692082589354051,0.01822808904901585,0.005669475868306018
-0.008867697831402399,-0.01256524378427426,0.01564634232248685,0.006141176515521041,0.010429242497752789,0.0017839269754407194,0.03463183058827557,0.02246604431157695,-0.0028101474977026974,0.02327472616327353
-0.002294083050500384,-0.007767328468301193,0.01687041580923565,0.01263298028229265,0.0001200401995087308,0.00830838135257217,0.037741076123122275,0.011853626231450587,0.010124168509338949,0.030356682874544516
0.008277669717079883,0.026648946548260888,0.019644478053724157,0.008971199087102866,0.0003600773747660657,0.005297167969372962,-0.017212945972196025,0.011936813077880082,0.007026332363723631,0.0054973922542163045
0.010034322921438799,0.011194092454736904,-0.010242327024119868,0.008057788791521858,-0.009357060742813172,0.0017565361060989382,-0.0015680316731443433,0.0007843557645021981,0.009644992827874344,0.00931151806329833
0.00948282839308745,-0.01171202891346812,0.02047386661576933,0.014332908334990124,0.017437588002655602,0.004091123887948189,-0.01841568066554855,0.00454544663571399,0.00772354136458242,0.00596686893238485
0.004249772827859211,0.004220874538955366,0.010461690488661413,0.005570696939317443,-0.0052963618760130116,-0.0005820649698046187,0.012744115153676017,0.001279473113068308,0.0028412229126235644,0.0016407747074849155
0.003118029531016475,0.010184308309556078,-0.015294931027498015,-0.007026102600312667,-0.009213223617995592,0.005241752578946324,0.005796739641764637,-0.015551948710392671,0.006576933373226401,-0.01719869117699646
0.010213030894343111,0.0011201535707199284,0.003547759691656438,0.0034018767528467553,0.004226788128850911,0.0023174682717177486,0.010586425230264096,-0.005761883543093593,-0.006634553416262734,0.008204838099244549
0.00769232791648311,-0.01166878240071334,0.011749462264420973,0.009628212092874788,0.004028673248287484,0.0017340825225617973,0.03583758810674542,0.007387365482957264,0.022060404207660422,0.020536333445610122
0.002181095035123093,0.005013696178559179,0.0076616686688435465,-0.0030890325767797266,-0.005329983014074502,-0.0017310806857993022,-0.002863637019833498,-0.0051798001247136405,-0.000495166750311915,-0.017257240272694818
0.0028291718816852995,-0.009333739090298221,0.003454908687941627,0.004311382652139928,0.010777306774051088,0.005780391075106861,-0.019923955172212793,-0.005158855090642289,0.003368062024634355,-0.002789241856297253
-0.0039062496503164956,0.008447105876142391,-0.003530975556694127,-0.0030857244277038287,-0.005599200544374683,0.006896581153996717,0.02488144139534576,-0.009538940067428947,-0.004442743044664077,-0.006505535673257068
0.009368140951423465,0.002738402612833424,0.009999935013110361,0.01130411201800574,0.006349489139073183,-0.014269457322608314,0.006393710115304652,0.0017450170852169045,0.002578458994561439,-0.00897961972827388
